frameID,eventType,player1Position,player2Position,ballPosition,speed
878,,"[16.4, 46.0, 0.0]","[-9.99, -51.75, 0.0]",,
879,,"[16.3, 46.0, 0.0]","[-10.1, -51.75, 0.0]",,55.096526630494346
880,,"[16.2, 46.1, 0.0]","[-10.1, -51.75, 0.0]",,
881,,"[16.1, 46.1, 0.0]","[-10.42, -51.75, 0.0]",,
882,,"[16.1, 46.1, 0.0]","[-10.42, -51.75, 0.0]",,
883,,"[16.1, 46.1, 0.0]","[-10.42, -51.75, 0.0]",,
884,,"[16.0, 46.1, 0.0]","[-10.53, -51.75, 0.0]",,
885,,"[15.9, 46.1, 0.0]","[-10.71, -50.05, 0.0]",,
886,,"[15.8, 46.1, 0.0]","[-11.07, -51.75, 0.0]",,
887,,"[15.7, 46.1, 0.0]","[-10.92, -50.05, 0.0]",,
888,,"[15.5, 46.1, 0.0]","[-11.03, -50.05, 0.0]",,
889,,"[15.4, 46.1, 0.0]","[-11.17, -51.75, 0.0]",,
890,,"[15.2, 46.1, 0.0]","[-11.13, -50.05, 0.0]",,
891,,"[15.0, 46.1, 0.0]","[-10.92, -50.05, 0.0]",,
892,,"[14.8, 46.1, 0.0]","[-10.81, -50.05, 0.0]",,
893,p2cp,"[14.6, 46.1, 0.0]","[-11.07, -51.75, 0.0]","[-10.1, -51.75, 3.3]",
894,,"[14.6, 46.1, 0.0]","[-11.03, -50.05, 0.0]",,
895,,"[14.5, 46.1, 0.0]","[-10.92, -50.05, 0.0]",,
896,,"[14.3, 46.1, 0.0]","[-10.92, -50.05, 0.0]",,
897,,"[14.2, 46.1, 0.0]","[-10.92, -50.05, 0.0]",,
898,,"[14.1, 46.1, 0.0]","[-10.92, -50.05, 0.0]",,
899,,"[14.1, 46.1, 0.0]","[-10.92, -50.05, 0.0]",,
900,,"[13.9, 46.1, 0.0]","[-10.92, -50.05, 0.0]",,
901,,"[13.8, 46.1, 0.0]","[-10.71, -50.05, 0.0]",,
902,,"[13.8, 46.1, 0.0]","[-10.6, -50.05, 0.0]",,
903,,"[13.7, 46.1, 0.0]","[-10.39, -50.05, 0.0]",,
904,,"[13.3, 46.1, 0.0]","[-10.5, -50.05, 0.0]",,
905,,"[13.3, 46.1, 0.0]","[-10.5, -50.05, 0.0]",,
906,,"[13.2, 46.1, 0.0]","[-10.39, -50.05, 0.0]",,
907,,"[13.0, 46.1, 0.0]","[-11.35, -50.05, 0.0]",,
908,,"[12.8, 46.1, 0.0]","[-11.24, -50.05, 0.0]",,
909,,"[12.7, 46.1, 0.0]","[-10.18, -50.05, 0.0]",,
910,,"[12.6, 46.1, 0.0]","[-10.07, -50.05, 0.0]",,
911,,"[12.6, 46.1, 0.0]","[-9.78, -51.75, 0.0]",,
912,,"[12.5, 46.1, 0.0]","[-10.1, -51.75, 0.0]",,
913,,"[12.4, 46.1, 0.0]","[-10.1, -51.75, 0.0]",,
914,,"[12.4, 46.1, 0.0]","[-10.21, -51.75, 0.0]",,
